ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2017;1;CANAL DE DERRAME;CENTRAL TERMOELÉCTRICA LOS PINOS;Temperatura;Tabla 1;-37.0899;-72.322898;18.7;35.0;-16.3;-46.6
2017;11;CANAL COLONIA SUR;SANTA LIDIA;Temperatura;Tabla 1;-37.078033;-72.345822;18.7;35.0;-16.3;-46.6
2019;2;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.7;35.0;-16.3;-46.6
2018;4;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Temperatura;Tabla 4;-37.022789;-73.16584;16.0;30.0;-14.0;-46.7
2018;5;PENINSULA GUACOLDA;GUACOLDA;Temperatura;Tabla 4;-28.472116;-71.247379;16.0;30.0;-14.0;-46.7
2020;4;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.6;35.0;-16.4;-46.9
2018;10;CANAL COLONIA SUR;SANTA LIDIA;Temperatura;Tabla 1;-37.078033;-72.345822;18.6;35.0;-16.4;-46.9
2020;12;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.6;35.0;-16.4;-46.9
2018;2;CANAL DE DERRAME;CENTRAL TERMOELÉCTRICA LOS PINOS;Temperatura;Tabla 1;-37.0899;-72.322898;18.6;35.0;-16.4;-46.9
2017;8;CANAL COLONIA SUR;SANTA LIDIA;Temperatura;Tabla 1;-37.078033;-72.345822;18.6;35.0;-16.4;-46.9
2020;5;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.6;35.0;-16.4;-46.9
2020;9;RIO ACONCAGUA;LOS VIENTOS;Temperatura;Tabla 1;-32.843902;-71.013235;18.6;35.0;-16.4;-46.9
2021;3;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.6;35.0;-16.4;-46.9
2018;1;ESTERO LAJARILLA;CENTRAL COLMITO;Temperatura;Tabla 1;-32.930525;-71.473568;18.6;35.0;-16.4;-46.9
