ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2021;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2019;5;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2021;4;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
2019;5;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2019;4;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2019;9;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2019;9;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2021;1;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2021;4;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2019;6;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2021;10;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2022;2;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2022;6;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2022;6;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2020;8;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
2020;8;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2022;5;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
